localidad,latitud,longitud,altitud,codigo_nh,provincia
AZUL-SMN,-36.750000000000000,-59.829999999999998,132,196,BUENOS AIRES
BOLIVAR-SMN,-36.250000000000000,-61.100000000000001,93,189,BUENOS AIRES
BAHIABLANCA-SMN,-38.729999999999997,-62.170000000000002,83,221,BUENOS AIRES
BARILOCHE-SMN,-41.149999999999999,-71.170000000000002,840,323,RIO NEGRO
BENITOJUAREZ-SMN,-37.719999999999999,-59.780000000000001,207,8,BUENOS AIRES
BERNARDODEIRIGOYENAERO(MISIO),-26.250000000000000,-53.649999999999999,815,523,MISIONES
BUENOSAIRES-AERO-SMN,-34.570000000000000,-58.420000000000002,6,332,CIUDAD AUTONOMA DE BUENOS AIRE
CATAMARCA-SMN,-28.600000000000001,-65.769999999999996,454,44,CATAMARCA
CERES-SMN,-29.879999999999999,-61.950000000000003,88,81,SANTA FE
COMODORORIVADAVIA-SMN,-45.780000000000001,-67.500000000000000,46,270,CHUBUT
CONCORDIA-SMN,-31.300000000000001,-58.020000000000003,38,477,ENTRE RIOS
CORDOBA-SMN,-31.320000000000000,-64.219999999999999,474,100,CORDOBA
CORDOBA-OBS,-31.399999999999999,-64.180000000000007,425,105,CORDOBA
CORONELSUAREZ-SMN,-37.500000000000000,-61.950000000000003,234,204,BUENOS AIRES
CORONELPRINGLESSMN,-38.020000000000003,-61.329999999999998,247,390,BUENOS AIRES
CORRIENTES-SMN,-27.469999999999999,-58.820000000000000,62,470,CORRIENTES
CHAMICAL-SMN,-30.370000000000001,-66.280000000000001,461,476,LA RIOJA
CHAPELCO-SMN,-40.079999999999998,-71.129999999999995,779,525,NEUQUEN
CHEPES-SMN,-31.329999999999998,-66.599999999999994,658,102,LA RIOJA
CHILECITO-SMN,-29.170000000000002,-67.500000000000000,945,31,LA RIOJA
DOLORES-SMN,-36.350000000000001,-57.729999999999997,9,190,BUENOS AIRES
ELBOLSON-SMN,-41.969999999999999,-71.519999999999996,337,158,RIO NEGRO
ELBOLSON-SMN,-41.930000000000000,-71.549999999999997,310,350,RIO NEGRO
ELCALAFATE-SMN,-50.270000000000003,-72.049999999999997,204,571,SANTA CRUZ
ELTREBOL-SMN,-32.250000000000000,-61.380000000000003,92,552,SANTA FE
ELPALOMAR-SMN,-34.600000000000001,-58.600000000000001,12,159,BUENOS AIRES
ESQUEL-SMN,-42.899999999999999,-71.349999999999994,787,303,CHUBUT
EZEIZA-SMN,-34.820000000000000,-58.530000000000001,20,166,BUENOS AIRES
FORMOSA-SMN,-26.199999999999999,-58.229999999999997,60,483,FORMOSA
GENERALPICO-SMN,-35.700000000000003,-63.750000000000000,145,334,LA PAMPA
GOBERNADORGREGORES-SMN,-48.780000000000001,-70.170000000000002,357,283,SANTA CRUZ
GUALEGUAYCHU-SMN,-33.020000000000003,-58.520000000000003,21,134,ENTRE RIOS
IGUAZU-SMN,-25.730000000000000,-54.469999999999999,270,353,MISIONES
JACHAL-SMN,-30.250000000000000,-68.750000000000000,1165,86,SAN JUAN
JUJUY-SMN,-24.379999999999999,-65.079999999999998,905,500,JUJUY
JUJUYUN,-24.170000000000002,-65.180000000000007,1302,543,JUJUY
JUNIN-SMN,-34.549999999999997,-60.920000000000002,81,453,BUENOS AIRES
LABOULAYE-SMN,-34.130000000000003,-63.369999999999997,137,148,CORDOBA
LAPLATA-SMN,-34.969999999999999,-57.899999999999999,19,450,BUENOS AIRES
LARIOJA-SMN,-29.379999999999999,-66.819999999999993,429,77,LA RIOJA
LASFLORES-SMN,-36.030000000000001,-59.100000000000001,33,186,BUENOS AIRES
LASLOMITAS-SMN,-24.699999999999999,-60.579999999999998,130,11,FORMOSA
MALARGUE-SMN,-35.500000000000000,-69.579999999999998,1425,179,MENDOZA
MAQUINCHAO-SMN,-41.250000000000000,-68.730000000000004,888,248,RIO NEGRO
MARCOSJUAREZ-SMN,-32.700000000000003,-62.149999999999999,114,369,CORDOBA
MARDELPLATA-SMN,-37.930000000000000,-57.579999999999998,21,210,BUENOS AIRES
MENDOZA-SMN,-32.829999999999998,-68.780000000000001,705,131,MENDOZA
MENDOZA-OBS,-32.880000000000003,-68.849999999999994,827,132,MENDOZA
METAN-SMN,-25.480000000000000,-64.799999999999997,855,21,SALTA
MONTECASEROS-SMN,-30.270000000000000,-57.649999999999999,54,87,CORRIENTES
MORON-SMN,-34.670000000000002,-58.630000000000003,24,164,BUENOS AIRES
NEUQUEN-SMN,-38.950000000000003,-68.129999999999995,271,227,NEUQUEN
NUEVEDEJULIO-SMN,-35.450000000000003,-60.880000000000003,76,178,BUENOS AIRES
OBERA-SMN,-27.480000000000000,-55.130000000000003,343,57,MISIONES
OLAVARRIA-SMN,-36.880000000000003,-60.219999999999999,166,531,BUENOS AIRES
ORAN-SMN,-23.149999999999999,-64.319999999999993,357,339,SALTA
PARANA-SMN,-31.780000000000001,-60.479999999999997,78,113,ENTRE RIOS
PASODEINDIOS-SMN,-43.820000000000000,-68.879999999999995,460,307,CHUBUT
PASODELOSLIBRES-SMN,-29.680000000000000,-57.149999999999999,70,346,CORRIENTES
PEHUAJO-SMN,-35.869999999999997,-61.899999999999999,87,456,BUENOS AIRES
PERITOMORENO-SMN,-46.520000000000003,-71.019999999999996,429,272,SANTA CRUZ
PIGUE-SMN,-37.600000000000001,-62.380000000000003,304,206,BUENOS AIRES
PILAR-SMN,-31.670000000000002,-63.880000000000003,338,111,CORDOBA
POSADAS-SMN,-27.370000000000001,-55.969999999999999,133,362,MISIONES
PUERTODESEADO-SMN,-47.729999999999997,-65.920000000000002,80,280,SANTA CRUZ
PUNTAINDIO-SMN,-35.369999999999997,-57.280000000000001,22,177,BUENOS AIRES
RECONQUISTA-SMN,-29.180000000000000,-59.700000000000003,53,309,SANTA FE
RESISTENCIA-SMN,-27.449999999999999,-59.049999999999997,52,489,CHACO
RIOCOLORADO-SMN,-39.020000000000003,-64.079999999999998,79,229,RIO NEGRO
RIOCUARTO-SMN,-33.119999999999997,-64.230000000000004,421,138,CORDOBA
RIOGALLEGOS-SMN,-51.619999999999997,-69.280000000000001,20,293,SANTA CRUZ
RIOGRANDE-SMN,-53.799999999999997,-67.750000000000000,22,296,"TIERRA DEL FUEGO, ANTÁRTIDA E*"
RIVADAVIA-SMN,-24.170000000000002,-62.899999999999999,205,6,SALTA
ROQUESAENZPENA-SMN,-26.820000000000000,-60.450000000000003,92,34,CHACO
ROSARIO-SMN,-32.920000000000002,-60.780000000000001,25,133,SANTA FE
SALTA-SMN,-24.850000000000001,-65.480000000000004,1221,12,SALTA
SANANTONIOOESTE-SMN,-40.729999999999997,-64.950000000000003,7,241,RIO NEGRO
SANCARLOS-SMN,-33.770000000000003,-69.030000000000001,940,143,MENDOZA
SANFERNANDO-SMN,-34.450000000000003,-58.579999999999998,3,553,BUENOS AIRES
SANJUAN-SMN,-31.570000000000000,-68.420000000000002,598,495,SAN JUAN
SANLUIS-SMN,-33.270000000000003,-66.349999999999994,713,139,SAN LUIS
SANMARTIN-SMN,-33.079999999999998,-68.420000000000002,653,370,MENDOZA
SANMIGUEL-SMN,-34.549999999999997,-58.729999999999997,26,154,BUENOS AIRES
SANRAFAEL-SMN,-34.579999999999998,-68.400000000000006,748,325,MENDOZA
SANTACRUZ-SMN,-50.020000000000003,-68.569999999999993,113,289,SANTA CRUZ
SANTAROSA-SMN,-36.570000000000000,-64.269999999999996,191,192,LA PAMPA
SANTAROSADECONLARA-SMN,-32.670000000000002,-65.319999999999993,620,572,SAN LUIS
